Publication,Ecoregion
Sussman et al. 2003,Levantine Sea
Williams and Miller 2005,Floridian
Dalton and Godwin 2006,Tweed-Moreton
Aeby and Santavy 2006,Floridian
Gignoux-Wolfsohn et al. 2012,Southwestern Caribbean
Aeby 1992,Hawaii
Aeby 1998,Hawaii
Aeby 2002,Hawaii
Vargas-Ángel et al. 2003,Floridian
Sutherland et al. 2011,Floridian
Rypien and Baker 2009,Floridian
Nicolet et al. 2013,Central and Southern Great Barrier Reef
Clemens and Brandt 2015,Eastern Caribbean
Pratte and Richardson 2016,Floridian
Nicolet et al. 2018b,Torres Strait Northern Great Barrier Reef
Nicolet et al. 2018a,Torres Strait Northern Great Barrier Reef
Sutherland et al. 2010,Floridian
Page and Willis 2008,Central and Southern Great Barrier Reef
Page and Willis 2008,Torres Strait Northern Great Barrier Reef
Nugues and Bak 2009,Palawan/North Borneo
Jordán-Garza and Jordán-Dahlgren 2011,Southern Gulf of Mexico
Pollock et al. 2013,Torres Strait Northern Great Barrier Reef
Katz et al. 2014,Torres Strait Northern Great Barrier Reef
Miller et al. 2014,Floridian
Randall et al. 2016,Floridian
Raymundo et al. 2016,Mariana Islands
Shaver et al. 2017,Floridian
Wright et al. 2017,Torres Strait Northern Great Barrier Reef
Beurmann et al. 2017,Hawaii
Williams 2013,Line Islands
Bettarel et al. 2018,Southern Vietnam
Antonius and Riegl 1997,Northern and Central Red Sea
Grober-Dunsmore et al. 2006,Eastern Caribbean
Raymundo et al. 2009,Torres Strait Northern Great Barrier Reef
Raymundo et al. 2009,Eastern Philippines
Williams et al. 2010,Hawaii
Onton et al. 2011,Ningaloo
McIlwain and Jones 1997,Torres Strait Northern Great Barrier Reef
Aeby 1991,Hawaii
Miller and Williams 2007,Greater Antilles
Cole et al. 2009,Torres Strait Northern Great Barrier Reef
Chong-Seng et al. 2011,Torres Strait Northern Great Barrier Reef
Pratchett et al. 2010,Chagos
Wolf and Nugues 2013,Southern Caribbean
Zaneveld et al. 2016,Floridian
van de Water et al. 2015,Central and Southern Great Barrier Reef
Muko and Nadaoka 2020,South Kuroshio
Maher et al. 2019,Society Islands
Scott et al. 2017,Gulf of Thailand
Ezzat et al. 2020,Society Islands
Ezzat et al. 2019,Society Islands
Bright et al. 2015,Floridian
Bright et al. 2016,Eastern Caribbean
Nagelkerken et al. 1997,Bahamian
Nagelkerken et al. 1997,Greater Antilles
Nagelkerken et al. 1997,Floridian
Nagelkerken et al. 1997,Southern Caribbean
Nagelkerken et al. 1997,Eastern Caribbean
Slattery 1999,Western Caribbean
Slattery et al. 2013,Mariana Islands
Moreira et al. 2013,Sao Pedro and Sao Paulo Islands
Ross 2014,Greater Antilles
Shirur et al. 2016,Western Caribbean
Ranith et al. 2017,Western India
Vermeij et al. 2015,Southern Caribbean
Martin et al. 2018,Hawaii
Martin et al. 2018,Society Islands
Kellogg et al. 2017,Hawaii
Casey et al. 2014,Torres Strait Northern Great Barrier Reef
Willis et al. 2004,Central and Southern Great Barrier Reef
Willis et al. 2004,Torres Strait Northern Great Barrier Reef
Antonius 1977,Floridian
Greene et al. 2020,Mariana Islands