Publication,Corallivore,Corallivore_family,Direct_lesion_feeding,Correlation,Experimental_effect,Disease_specific,Disease_general,,,
Sussman et al. 2003,Hermodice carunculata,Amphinomidae,N,NA,Increased,Bleaching,Bleaching,,,
Williams and Miller 2005,Coralliophila abbreviata,Muricidae,N,NA,Increased,White pox/Acroporid serratiosis (APS)--probably,White,,,
Dalton and Godwin 2006,Phestilla sp.,Trinchesiidae,N,NA,Increased,Australian subtropical white syndrome (noted in Dalton et al. 2010),White,,,
Aeby and Santavy 2006,Chaetodon capistratus ,Chaetodontidae,N,NA,Increased,Black-band disease,BBD,,,
Gignoux-Wolfsohn et al. 2012,Coralliophila abbreviata,Muricidae,N,NA,Increased,White band disease,White,,,
Gignoux-Wolfsohn et al. 2012,Coralliophila caribea,Muricidae,N,NA,No effect,White band disease,White,,,
Antonius 1977,Hermodice carunculata,Amphinomidae,N,NA,Increased,Shut down reaction,White,,,
Aeby 1992,Chaetodon multicinctus,Chaetodontidae,Y,NA,Decreased,Trematodiasis,Trematodiasis,,,
Aeby 1998,Chaetodon multicinctus,Chaetodontidae,Y,NA,NA,Trematodiasis,Trematodiasis,,,
Aeby 2002,Chaetodon multicinctus,Chaetodontidae,N,NA,NA,Trematodiasis,Trematodiasis,,,
Vargas-Ángel et al. 2003,Hermodice carunculata,Amphinomidae,N,Positive,NA,"White band disease, type I",White,,,
Sutherland et al. 2011,Coralliophila abbreviata,Muricidae,N,NA,Increased,White pox/Acroporid serratiosis (APS),White,,,
Rypien and Baker 2009,Cyphoma gibbosum,Ovulidae,N,NA,NA,Aspergillosis,Aspergillosis,,,
Nicolet et al. 2013,Drupella spp.,Muricidae,N,NA,Increased,Brown band disease,BrB,,,
Nicolet et al. 2013,Chromis viridis,Pomacentridae,N,NA,No effect,Brown band disease,,,,
Nicolet et al. 2013,Pomacentrus moluccensis,Pomacentridae,Y,None,No effect,Brown band disease,BrB,,,
Nicolet et al. 2013,Halichoeres melanurus,Labridae,Y,None,NA,Brown band disease,BrB,,,
Nicolet et al. 2013,Ecsenius sp,Blenniidae,Y,None,NA,Brown band disease,BrB,,,
Nicolet et al. 2013,Chromis nitida,Pomacentridae,Y,None,NA,Brown band disease,BrB,,,
Nicolet et al. 2013,Bryaninops erythrops,Gobiidae,Y,None,NA,Brown band disease,BrB,,,
Nicolet et al. 2013,Chaetodon aureofasciatus,Chaetodontidae,Y,None,No effect,Brown band disease,BrB,,,
Clemens and Brandt 2015,Coralliophila abbreviata,Muricidae,N,NA,Increased,White plague,White,,,
Clemens and Brandt 2015,Hermodice carunculata,Amphinomidae,N,NA,No effect,White plague,White,,,
Pratte and Richardson 2016,Cryptochiridae,Cryptochiridae,N,Positive,Increased,White plague-like disease,White,,,
Nicolet et al. 2018b,Drupella spp.,Muricidae,N,NA,Increased,Brown band disease,BrB,,,
Nicolet et al. 2018b,Drupella spp.,Muricidae,N,NA,No effect,Black-band disease,BBD,,,
Nicolet et al. 2018b,Chaetodon plebius,Chaetodontidae,N,NA,No effect,Brown band disease,BrB,,,
Nicolet et al. 2018b,Chaetodon plebius,Chaetodontidae,N,NA,No effect,Black-band disease,BBD,,,
Nicolet et al. 2018a,Chaetodon plebius,Chaetodontidae,Y,NA,No effect,Black-band disease,BBD,,,
Nicolet et al. 2018a,Chaetodon lunulatus,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Nicolet et al. 2018a,Chaetodon rainfordi,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Nicolet et al. 2018a,Chaetodon aureofasciatus,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Nicolet et al. 2018a,Chaetodon baronessa,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Nicolet et al. 2018a,Chaetodon trifascialis,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Nicolet et al. 2018a,Labrichthys unilineatus,Labridae,Y,NA,NA,Black-band disease,BBD,,,
Nicolet et al. 2018a,Oxymonacanthus longirostris,Monacanthidae,Y,NA,NA,Black-band disease,BBD,,,
Nicolet et al. 2018a,Pomacentrus amboinensis,Pomacentridae,Y,NA,NA,Black-band disease,BBD,,,
Nicolet et al. 2018a,Pomacentrus grammorhynchus,Pomacentridae,Y,NA,NA,Black-band disease,BBD,,,
Sutherland et al. 2010,Coralliophila abbreviata,Muricidae,N,NA,NA,White pox/Acroporid serratiosis (APS),White,,,
Page and Willis 2008,NA,NA,N,NA,NA,NA,NA,,,
Nugues and Bak 2009,Acanthaster planci,Acanthasteridae,N,NA,Increased,Brown band disease,BrB,,,
Jordán-Garza and Jordán-Dahlgren 2011,NA,NA,N,NA,NA,NA,NA,,,
Pollock et al. 2013,Cymo melanodactylus,Xanthidae,N,Positive,Decreased,White syndrome,White,,,
Katz et al. 2014,Acanthaster planci,Acanthasteridae,N,NA,Increased,Brown band disease,BrB,,,
Miller et al. 2014,Hermodice carunculata,Amphinomidae,N,NA,Increased,"Unknown--""tissue loss associated with disease--described in Miller et al. 2014""",White,,,
Randall et al. 2016,NA,NA,N,NA,NA,NA,NA,,,
Raymundo et al. 2016,Coralliophila violacea,Muricidae,N,NA,Increased,White syndrome-like,White,,,
Shaver et al. 2017,Coralliophila abbreviata,Muricidae,N,NA,Increased,Unknown (rapid tissue loss syndrome?),White,,,
Wright et al. 2017,NA,NA,N,NA,NA,NA,NA,,,
Beurmann et al. 2017,NA,NA,N,NA,NA,NA,NA,,,
Williams 2013,NA,NA,N,NA,NA,NA,NA,,,
Bettarel et al. 2018,Drupella rugosa,Muricidae,N,Positive,NA,Microbiome shift,Microbiome,,,
Antonius and Riegl 1997,Drupella cornus,Muricidae,N,Positive,NA,Disease generally,General,,,
Grober-Dunsmore et al. 2006,Damselfishes (Stegastes spp. or Microspathodon chrysurus),Pomacentridae,N,Positive,NA,Likely white pox,White,,,
Grober-Dunsmore et al. 2006,Coralliophila abbreviata,Muricidae,N,None,NA,Likely white pox,White,,,
Grober-Dunsmore et al. 2006,Hermodice carunculata,Amphinomidae,N,None,NA,Likely white pox,White,,,
Raymundo et al. 2009,Chaetodontidae,Chaetodontidae,N,Positive,NA,Disease generally,General,,,
Raymundo et al. 2009,Acanthuridae,Acanthuridae,N,None,NA,Disease generally,General,,,
Raymundo et al. 2009,Anthiinae,Anthiinae,N,None,NA,Disease generally,General,,,
Raymundo et al. 2009,Balistidae,Balistidae,N,None,NA,Disease generally,General,,,
Raymundo et al. 2009,Carangidae,Carangidae,N,None,NA,Disease generally,General,,,
Raymundo et al. 2009,Epinephilinae,Epinephilinae,N,None,NA,Disease generally,General,,,
Raymundo et al. 2009,Labridae,Labridae,N,None,NA,Disease generally,General,,,
Raymundo et al. 2009,Pomacentridae,Pomacentridae,N,None,NA,Disease generally,General,,,
Raymundo et al. 2009,Scaridae,Scaridae,N,None,NA,Disease generally,General,,,
Raymundo et al. 2009,Lutjanidae,Lutjanidae,N,None,NA,Disease generally,General,,,
Williams et al. 2010,Chaetodontidae,Chaetodontidae,N,Negative,NA,Porites tissue loss,White,,,
Williams et al. 2010,Parrotfish,Scaridae,N,Negative,NA,Montipora white syndrome,White,,,
Williams et al. 2010,Chaetodontidae,Chaetodontidae,N,Positive,NA,Trematodiasis,Trematodiasis,,,
Williams et al. 2010,Parrotfish,Scaridae,N,Negative,NA,Growth anomalies,GA,,,
Onton et al. 2011,Drupella spp.,Muricidae,N,Positive,NA,Disease generally,General,,,
Onton et al. 2011,Drupella spp.,Muricidae,N,Positive,NA,Skeletal eroding band,SEB,,,
Onton et al. 2011,Drupella spp.,Muricidae,N,Positive,NA,Black-band disease,BBD,,,
Onton et al. 2011,Drupella spp.,Muricidae,N,Positive,NA,Cyanobacterial bands (OtCy),Cyanobacterial,,,
McIlwain and Jones 1997,Labrichthys unilineatus,Labridae,Y,NA,NA,Disease generally,General,,,
Aeby 1991,Chaetodon multicinctus,Chaetodontidae,Y,NA,NA,Trematodiasis,Trematodiasis,Chordata,Negatively related; Direct lesion feeding,Trematodiasis
Miller and Williams 2007,Hermodice carunculata,Amphinomidae,Y,NA,NA,"White disease', likely white plague",White,,,
Cole et al. 2009,Chaetodon baronessa,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Cole et al. 2009,Chaetodon aureofasciatus,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Cole et al. 2009,Chaetodon plebius,Chaetodontidae,Y,NA,Decreased,Black-band disease,BBD,,,
Cole et al. 2009,Chaetodon rainfordi,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Cole et al. 2009,Chaetodon lunulatus,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Cole et al. 2009,Labrichthys unilineatus,Labridae,Y,NA,NA,Black-band disease,BBD,,,
Chong-Seng et al. 2011,Labrichthys unilineatus,Labridae,Y,NA,NA,Black-band disease,BBD,,,
Chong-Seng et al. 2011,Chaetodon aureofasciatus,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Chong-Seng et al. 2011,Chaetodon aureofasciatus,Chaetodontidae,Y,NA,NA,Brown band disease,BrB,,,
Chong-Seng et al. 2011,Chaetodon baronessa,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Chong-Seng et al. 2011,Chaetodon baronessa,Chaetodontidae,Y,NA,NA,Brown band disease,BrB,,,
Chong-Seng et al. 2011,Chaetodon lunulatus,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Chong-Seng et al. 2011,Chaetodon lunulatus,Chaetodontidae,Y,NA,NA,Brown band disease,BrB,,,
Chong-Seng et al. 2011,Chaetodon rainfordi,Chaetodontidae,Y,NA,NA,Brown band disease,BrB,,,
Chong-Seng et al. 2011,Chaetodon trifascialis,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Chong-Seng et al. 2011,Cheiloprion labiatus,Pomacentridae,Y,NA,NA,Brown band disease,BrB,,,
Chong-Seng et al. 2011,Chaetodon citrinellus,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Chong-Seng et al. 2011,Chaetodon klenii,Chaetodontidae,Y,NA,NA,Black-band disease,BBD,,,
Chong-Seng et al. 2011,Neoglyphidodon melas,Pomacentridae,Y,NA,NA,Black-band disease,BBD,,,
Chong-Seng et al. 2011,Dischistodus melanotus,Pomacentridae,Y,NA,NA,Black-band disease,BBD,,,
Chong-Seng et al. 2011,Pomacentrus amboinensis,Pomacentridae,Y,NA,NA,Black-band disease,BBD,,,
Chong-Seng et al. 2011,Pomacentrus chrysurus,Pomacentridae,Y,NA,NA,Black-band disease,BBD,,,
Chong-Seng et al. 2011,Pomacentrus moluccensis,Pomacentridae,Y,NA,NA,Brown band disease,BrB,,,
Chong-Seng et al. 2011,Pomacentrus wardi,Pomacentridae,Y,NA,NA,Black-band disease,BBD,,,
Chong-Seng et al. 2011,Pomacentrus wardi,Pomacentridae,Y,NA,NA,Brown band disease,BrB,,,
Chong-Seng et al. 2011,Stegastes apicalis,Pomacentridae,Y,NA,NA,Brown band disease,BrB,,,
Chong-Seng et al. 2011,Stegastes nigricans,Pomacentridae,Y,NA,NA,Brown band disease,BrB,,,
Chong-Seng et al. 2011,Gomphosus varius,Labridae,Y,NA,NA,Brown band disease,BrB,,,
Chong-Seng et al. 2011,Parrotfish,Scaridae,Y,NA,NA,Brown band disease,BrB,,,
Pratchett et al. 2010,Cymo melanodactylus,Xanthidae,N,Positive,NA,Recent tissue loss--likely a white syndrome,White,,,
Wolf and Nugues 2013,Hermodice carunculata,Amphinomidae,N,NA,Increased,White plague,White,,,
Wolf and Nugues 2013,Coralliophila abbreviata,Muricidae,N,NA,None,White plague,White,,,
Zaneveld et al. 2016,Parrotfish,Scaridae,N,NA,Increased,Microbiome shift,Microbiome,,,
van de Water et al. 2015,NA,NA,N,NA,NA,NA,NA,,,
Muko and Nadaoka 2020,Drupella spp.,Muricidae,N,Positive,NA,White syndrome,White,,,
Muko and Nadaoka 2020,Drupella spp.,Muricidae,N,Positive,NA,Growth anomolies,GA,,,
Maher et al. 2019,NA,NA,N,NA,NA,NA,NA,,,
Scott et al. 2017,NA,NA,N,NA,NA,NA,NA,,,
Ezzat et al. 2020,Chlorurus spilurus,Scaridae,N,Positive,Increased,Microbiome shift,Microbiome,,,
Ezzat et al. 2019,Ctenochaetus striatus,Acanthuridae,N,NA,Increased,Microbiome shift,Microbiome,,,
Bright et al. 2015,NA,NA,N,NA,NA,NA,NA,,,
Bright et al. 2016,Coralliophila abbreviata,Muricidae,N,Positive,NA,"White pox disease, white band disease",White,,,
Nagelkerken et al. 1997,Cyphoma gibbosum,Ovulidae,N,Positive,NA,Aspergillosis,Aspergillosis,,,
Slattery 1999,Thalassoma bifasciatum,Labridae,Y,NA,NA,Aspergillosis,Aspergillosis,,,
Slattery 1999,Chaetodontidae,Chaetodontidae,Y,NA,NA,Aspergillosis,Aspergillosis,,,
Slattery 1999,Cyphoma gibbosum,Ovulidae,N,Positive,NA,Aspergillosis,Aspergillosis,,,
Slattery et al. 2013,Chaetodontidae,Chaetodontidae,N,NA,NA,Sinularia Tissue Loss Disease,Sinularia TLD,,,
Moreira et al. 2013,Hermodice carunculata,Amphinomidae,N,Positive,NA,Bleaching,Bleaching,,,
Ross 2014,Hermodice carunculata,Amphinomidae,N,None,NA,NA,NA,,,
Shirur et al. 2016,NA,NA,N,NA,NA,NA,NA,,,
Ranith et al. 2017,Parrotfish (scars),Scaridae,N,Positive,NA,Black-band disease,BBD,,,
Vermeij et al. 2015 MEPS,Stegastes planifrons,Pomacentridae,N,Positive,NA,General disease (lots of YBD),General,,,
Martin et al. 2018,Chaetodontidae,Chaetodontidae,N,NA,NA,Trematodiasis,Trematodiasis,,,
Kellogg et al. 2017,Acanthurus leucopareius,Acanthuridae,Y,NA,NA,Black-band disease,BBD,,,
Casey et al. 2014,Stegastes nigricans,Pomacentridae,N,Positive,NA,Black-band disease,BBD,,,
Casey et al. 2014,Stegastes apicalis,Pomacentridae,N,Positive,NA,Black-band disease,BBD,,,
Willis et al. 2004,NA,NA,N,NA,NA,NA,NA,,,
Greene et al. 2020,,,,,,,,,,